order,type,name,address,phone,latitude,longitude,website
1,Barber shop,5th Street Hair,"640 W 5th St, Chico, CA 95928",,39.73328505,-121.8457242950357,https://www.5thstreethair.com/
2,Chiropractor,A. Laufer Chiropractic,"1810 Esplanade, Chico, CA 95926",(530) 895-1151,39.74211865,-121.85038515680881,https://www.lauferchiro.com/
3,Plumber,Accurate Plumbing,"2288 Park Ave suite a, Chico, CA 95928",(530) 894-1800,39.758183,-121.797334,https://www.accurateplumbingchico.com/
4,Landscaper,Amigo's Landscape,"3549 Esplanade, Chico, CA 95973",(530) 520-9107,39.7561529,-121.8607877,https://www.amigoslandscape.com/
5,Boutique,Anika Burke,"211 Main St, Chico, CA 95928",(530) 918-8850,34.281125700000004,-119.29777279264113,https://anikaburke.com/
6,Beauty supply store,Bath & Body Works,"1950 E 20th St, Chico, CA 95928",(530) 345-2775,39.72889115,-121.8054466724154,https://www.bathandbodyworks.com/?cm_mmc=local_BBW00254
7,Electronics store,Best Buy,"2005 Forest Ave, Chico, CA 95928",(530) 566-1012,39.72679085,-121.80001341984729,https://stores.bestbuy.com/ca/chico/2005-forest-ave-191.html/?ref=NS&loc=ns100
8,Painter,Bestway Painters Inc,"565 E Lindo Ave, Chico, CA 95926",(530) 343-0430,39.7488851,-121.8551182,http://bestwaypainters.com/
9,Wine store,BevMo!,"1937 E 20th St A-1, Chico, CA 95928",(530) 433-5544,39.7255539,-121.8039731,https://www.bevmo.com/
10,Hamburger restaurant,Big Chico Burger,"1550 East Ave, Chico, CA 95926",(530) 891-6100,33.5024799,-112.04868844747867,https://bigchicoburger.net/?y_source=1_MTA1NzIwNTg1OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
11,Landscaper,"Blue Moon Landscape, Inc.","586 E 7th St, Chico, CA 95928",(530) 521-6587,39.7312668,-121.8300199,https://www.bluemoonlandscape.com/
12,Bagel shop,Brooklyn Bridge Bagel Works,"117 W 2nd St Unit A, Chico, CA 95928",(530) 345-3443,43.6699717,-79.3839343,https://www.brooklynbagelschico.com/
13,Towing service,Brown's Towing,"727 Cedar St, Chico, CA 95928",(530) 345-6333,39.7140504,-121.8133106,http://brownstowingchico.com/
14,Auto repair shop,Cadillac of Chico,"13320 Garner Ln, Chico, CA 95973",(530) 487-0897,39.7882522,-121.8910542,https://www.cadillacofchico.com/
15,Auto body shop,California Color Body & Paint,"3106 Esplanade, Chico, CA 95973",(530) 895-3004,39.7561529,-121.8607877,http://californiacolorchico.com/
16,Liquor store,California Park Market,"820 Bruce Rd, Chico, CA 95928",(530) 879-9550,44.62294949564582,-81.26909999337741,http://california-market-chico.poi.place/
17,Fast food restaurant,Carlâ€™s Jr.,"2516 Esplanade, Chico, CA 95926",(530) 893-2908,39.75667985,-121.86067685251327,https://locations.carlsjr.com/ca/chico/2516-esplanade
18,Massage therapist,Cathy Camp Therapeutic Massage,"20 Landing Cir #302, Chico, CA 95973",(530) 717-7454,39.775476999999995,-121.8406976150421,http://cathycamp.massagetherapy.com/
19,American restaurant,Cheese Steak Shop,"995 Nord Ave, Chico, CA 95926",(530) 345-2565,39.7305813,-121.859356,https://www.cheesesteakshop.com/
20,Shopping mall,Chico Crossroads,"2027 Dr Martin Luther King Jr Pkwy, Chico, CA 95928",(833) 800-4343,39.7245138,-121.81079332732315,https://properties.kimcorealty.com/p/commercial-real-estate-listings/Chico-CA-95928/114460
21,Massage therapist,Chico's Locale Massage,"1324 Mangrove Ave Ste. 218, Chico, CA 95926",(530) 685-5488,39.74397945,-121.8391931,https://www.chicoslocalemassage.com/
22,Permanent make-up clinic,Colleen Pembroke Electrolysis and Permanent Makeup,"3151 Hudson Ave, Chico, CA 95973",(530) 228-0391,39.7734405,-121.8139208,http://colleenhpembroke.com/
23,General contractor,Contreras Construction,"535 Arcadian Ave, Chico, CA 95926",(530) 321-2507,39.7321845,-121.84546771236512,https://www.contrerasconst.com/
24,Massage therapist,"Creating A Sustainable You, A Collective of Healers","811 E 5th Ave, Chico, CA 95926",(530) 521-7328,33.121334,-117.06923,https://creatingasustainableyou.com/
25,Beauty salon,Culture Salon,"123 W 6th St STE 100, Chico, CA 95928",(530) 893-3600,40.76509515,-73.9783705165602,http://culturesalonchico.com/
26,Muffler shop,Dave's Chico Muffler Services,"545 Broadway St, Chico, CA 95928",(530) 343-9999,39.7140504,-121.8133106,http://daves-services.jany.io/
27,Auto repair shop,DMH Auto Repair,"175 E 20th St unit b, Chico, CA 95928",(530) 433-8259,39.7197925,-121.8222209,http://dmhautorepair.com/
28,Plumber,Eagle Plumbing,"1560 East Ave, Chico, CA 95926",(530) 520-8671,33.924855449999995,-118.3995320671556,http://eagleplumbing.biz/
29,Plumber,Earl's Performance Plumbing,"2264 Park Ave, Chico, CA 95928",(530) 343-0330,43.34359129926768,-79.80683688635752,https://www.earlsplumbing.net/
30,Barber shop,Elite Barbershop,"221 Normal Ave A, Chico, CA 95928",(530) 630-9987,39.7280959,-121.8423069,http://elitebarbershopchico.com/
